author,date,doc_nb,word_nb,char_nb,doc_ids
Alan Whitehead,2017-06-27,1, 143,  813,uk.org.publicwhip/debate/2017-06-27a.455.8
Albert Owen,2018-03-06,1, 853, 4855,uk.org.publicwhip/debate/2018-03-06b.252.2
Alec Shelbrooke,2019-07-01,1,  78,  461,uk.org.publicwhip/debate/2019-07-01c.961.2
Alex Chalk,2019-04-30,1,1645, 9910,uk.org.publicwhip/debate/2019-04-30a.148.1
Alex Cunningham,2016-01-05,1, 928, 6055,uk.org.publicwhip/debate/2016-01-05d.133.2
Alex Cunningham,2016-03-14,1, 455, 2553,uk.org.publicwhip/debate/2016-03-14b.719.0
Alun Cairns,2019-06-10,1,  90,  525,uk.org.publicwhip/debate/2019-06-10b.442.2
Amber Rudd,2016-07-12,1, 678, 4093,uk.org.publicwhip/debate/2016-07-12b.186.1
Andrea Leadsom,2016-07-13,1,  55,  338,uk.org.publicwhip/debate/2016-07-14b.417.8
Andrea Leadsom,2016-07-14,2, 154,  918,uk.org.publicwhip/debate/2016-07-14c.412.7 uk.org.publicwhip/debate/2016-07-14c.412.3
Andrea Leadsom,2019-09-26,1,  78,  447,uk.org.publicwhip/debate/2019-09-26c.913.0
Andrew Mitchell,2019-10-14,1,1089, 6311,uk.org.publicwhip/debate/2019-10-14a.49.1
Andrew Murrison,2016-07-18,1, 331, 1926,uk.org.publicwhip/debate/2016-07-18c.591.2
Andrew Stephenson,2019-07-04,1,1094, 6628,uk.org.publicwhip/debate/2019-07-04b.1409.1
Anne Main,2019-09-03,1,  26,  141,uk.org.publicwhip/debate/2019-09-03b.34.3
Antoinette Sandbach,2016-07-04,1, 610, 3537,uk.org.publicwhip/debate/2016-07-04a.690.0
Barry Gardiner,2016-09-07,1,  53,  348,uk.org.publicwhip/debate/2016-09-07b.371.5
Barry Gardiner,2019-04-23,1, 908, 5353,uk.org.publicwhip/debate/2019-04-23a.674.0
Barry Sheerman,2019-04-24,1,  59,  345,uk.org.publicwhip/debate/2019-04-24b.734.0
Bill Grant,2019-10-17,1, 601, 3543,uk.org.publicwhip/debate/2019-10-17c.534.0
Boris Johnson,2019-10-30,1, 138,  782,uk.org.publicwhip/debate/2019-10-30a.368.3
