date,week,month,year,doc_nb,word_nb,char_nb,doc_ids
2016-01-05,2016-01-04,2016-01,2016,1, 928, 6055,uk.org.publicwhip/debate/2016-01-05d.133.2
2016-01-06,2016-01-04,2016-01,2016,1, 675, 3920,uk.org.publicwhip/debate/2016-01-06b.366.1
2016-01-07,2016-01-04,2016-01,2016,1,  24,  159,uk.org.publicwhip/debate/2016-01-07b.417.3
2016-01-18,2016-01-18,2016-01,2016,1, 579, 3228,uk.org.publicwhip/debate/2016-01-18b.1178.0
2016-01-25,2016-01-25,2016-01,2016,1, 534, 3246,uk.org.publicwhip/debate/2016-01-25c.112.1
2016-02-02,2016-02-01,2016-02,2016,1, 764, 4568,uk.org.publicwhip/debate/2016-02-02a.861.0
2016-02-11,2016-02-08,2016-02,2016,1,  20,  136,uk.org.publicwhip/debate/2016-02-11c.1727.7
2016-03-08,2016-03-07,2016-03,2016,1, 474, 2624,uk.org.publicwhip/debate/2016-03-08a.250.2
2016-03-09,2016-03-07,2016-03,2016,1, 368, 2144,uk.org.publicwhip/debate/2016-03-09a.281.0
2016-03-14,2016-03-14,2016-03,2016,2, 725, 4133,uk.org.publicwhip/debate/2016-03-14b.719.0 uk.org.publicwhip/debate/2016-03-14b.702.0
2016-05-18,2016-05-16,2016-05,2016,1, 974, 6463,uk.org.publicwhip/debate/2016-05-18a.3.0
2016-07-04,2016-07-04,2016-07,2016,1, 610, 3537,uk.org.publicwhip/debate/2016-07-04a.690.0
2016-07-12,2016-07-11,2016-07,2016,1, 678, 4093,uk.org.publicwhip/debate/2016-07-12b.186.1
2016-07-13,2016-07-11,2016-07,2016,1,  55,  338,uk.org.publicwhip/debate/2016-07-14b.417.8
2016-07-14,2016-07-11,2016-07,2016,2, 154,  918,uk.org.publicwhip/debate/2016-07-14c.412.7 uk.org.publicwhip/debate/2016-07-14c.412.3
2016-07-18,2016-07-18,2016-07,2016,2, 851, 5036,uk.org.publicwhip/debate/2016-07-18c.645.0 uk.org.publicwhip/debate/2016-07-18c.591.2
2016-09-07,2016-09-05,2016-09,2016,5,1091, 6631,uk.org.publicwhip/debate/2016-09-07b.419.1 uk.org.publicwhip/debate/2016-09-07b.412.0 uk.org.publicwhip/debate/2016-09-07b.333.3 uk.org.publicwhip/debate/2016-09-07b.371.5 uk.org.publicwhip/debate/2016-09-07b.405.0
2016-11-08,2016-11-07,2016-11,2016,1, 111,  690,uk.org.publicwhip/debate/2016-11-08c.1390.7
2016-11-22,2016-11-21,2016-11,2016,1,  98,  538,uk.org.publicwhip/debate/2016-11-22b.734.5
2017-01-31,2017-01-30,2017-01,2017,1, 845, 4867,uk.org.publicwhip/debate/2017-01-31c.845.1
2017-02-01,2017-01-30,2017-02,2017,1, 606, 3343,uk.org.publicwhip/debate/2017-02-01b.1005.253
2017-02-08,2017-02-06,2017-02,2017,1,4513,29826,uk.org.publicwhip/debate/2017-02-08b.434.1
